"","NSub","Low_2","Medium_2","High_2"
"1",1,-76.8247205666667,-50.9630880083333,-97.48798825
"2",2,-163.513453097464,-173.046662125,-164.428600925
"3",3,-108.422501,-131.265591496377,-156.822147416667
"4",4,3.84169775833334,-18.7138534583334,-12.16980035
"5",5,-2.30937533307453,45.3896857774327,104.617655014163
"6",6,5.96694465833332,-39.358296225,-112.6940208
"7",7,-7.60784989021739,80.2062800666667,15.4488296300725
"8",8,-49.2256271583333,-106.827293758333,-114.077936990942
"9",9,-27.6598233121212,-36.5927022163043,-83.412992775
"10",10,-138.592675733333,-126.841911016667,-125.523298275
"11",11,25.9699321166667,-13.2253711666667,-8.28218325362319
"12",12,8.96732086666668,7.11271105833333,64.2571620844203
"13",13,-115.378700216667,-153.904791516667,-126.43723695
"14",14,-7.34862396956521,-95.9053181083333,-162.498841716667
"15",15,-89.0976439083333,-172.387529319565,-142.2877284
"16",16,-23.15012695,-30.1714188083333,9.43781890833333
