Exp,NSub,low,medium,high
Exp. 3,1,-0.08469377907500002,-0.12642682744166672,-0.08575630080833337
Exp. 3,2,-0.14796906574166663,-0.09451561130833334,-0.08626709684166667
Exp. 3,3,-0.12058891499166668,-0.12860097018333333,-0.09714618608514496
Exp. 3,4,-0.060203030183333305,-0.04038519546340576,-0.05402084260000002
Exp. 3,5,-0.006597825640217381,0.015666414530434734,0.030586326591666668
Exp. 3,6,-0.05436470891014498,0.007674898849999989,0.002027895174999972
Exp. 3,7,-0.0875048702,-0.023892333391666697,-0.018165929741666663
Exp. 3,8,0.022710893975000035,0.0345105728148551,1.139008083333115e-4
Exp. 3,9,-0.07751481661666666,-0.07346688101231884,-0.04170024542753623
Exp. 3,10,-0.15618476671666665,-0.021539336391666653,-0.0458575409916667
Exp. 3,11,-0.02216338289166666,-0.01701448052463774,-0.014577121674999981
Exp. 3,12,-0.02375622045833332,-0.014904814640942066,0.030302484178260848
Exp. 3,13,-0.24791087118333335,-0.23631226394166666,-0.18639911430000003
Exp. 3,14,0.007060839878623204,0.06569347143949278,0.03659870485000001
Exp. 3,15,-0.2059246465,-0.140149000775,-0.15751880845833338
Exp. 3,16,-0.22245561600833333,-0.17325507191666667,-0.14353378563333333
