Exp,NSub,0.5,0.8,1.1,1.4,1.7
Exp1,1,0.2759448890060387,0.10862692006944441,-0.15129625935386481,-0.41157486191666653,-0.5991194075972222
Exp1,2,0.23995582741666666,0.19718517774999997,0.026614177541666617,-0.17473701911111106,-0.30452911530555543
Exp1,3,0.23909184740277778,0.10085609213888887,-0.047147414166666714,-0.23648453273611092,-0.3867059991111111
Exp1,4,0.25553547206944444,0.1302009830694444,-0.08425302544444462,-0.3233656859722221,-0.47291258926388896
Exp1,5,0.06952577050000001,0.017725842999999946,-0.01890446430555559,-0.09801378152777773,-0.16336228854166657
Exp1,6,0.20841689468055555,0.05519706629166665,-0.1819576188750001,-0.39406884890277766,-0.5369858485126262
Exp1,7,0.12435310794444443,-0.05726462647222227,-0.26861833416666675,-0.44282467243055545,-0.62165199225
Exp1,8,0.1819572935,0.12040162780555552,0.01874405647946853,-0.19270096414794677,-0.31702644326218715
Exp1,9,0.13352482379166666,0.14017857016666666,0.1295085954166666,-0.005163525902777725,-0.16828892704166662
Exp1,10,0.21552840033333334,0.10101670055555549,-0.08344422165277787,-0.22560216231944433,-0.3912720814583333
Exp1,11,0.1821729551388889,0.10941731008333326,-0.043597054625000076,-0.1767215626249999,-0.3071657686111111
Exp1,12,0.007751771194444461,-0.06071111779166671,-0.0028004533472223425,-0.11360913991666662,-0.17516253027777773
Exp1,13,0.13327731008333332,0.11501580319021738,0.03386042193055553,-0.0534265405277777,-0.1600739227638889
Exp1,14,0.024182863930555538,0.04484223604166663,0.03073037098611094,-0.010946525402777704,-0.0538564659999999
Exp1,15,0.13930644966666664,0.04725058631944438,-0.036210753047705414,-0.10419826133333321,-0.30654219494444446
Exp1,16,0.12672139329166668,0.04707199252777775,-0.08915075759722228,-0.13961247758333326,-0.32041315527777775
